0.6695 	EXP 	move_right: foreColor = 'black'
0.6856 	EXP 	move_right: foreColor = 'black'
0.7012 	EXP 	move_right: foreColor = 'black'
0.7176 	EXP 	move_right: foreColor = 'black'
0.7341 	EXP 	move_right: foreColor = 'white'
0.7513 	EXP 	move_right: foreColor = 'white'
0.7690 	EXP 	move_right: foreColor = 'white'
0.7838 	EXP 	move_right: foreColor = 'white'
0.8003 	EXP 	move_right: foreColor = 'white'
0.8172 	EXP 	move_right: foreColor = 'black'
0.8343 	EXP 	move_right: foreColor = 'black'
0.8522 	EXP 	move_right: foreColor = 'black'
0.8683 	EXP 	move_right: foreColor = 'black'
0.8846 	EXP 	move_right: foreColor = 'black'
0.9011 	EXP 	move_right: foreColor = 'white'
0.9186 	EXP 	move_right: foreColor = 'white'
0.9352 	EXP 	move_right: foreColor = 'white'
0.9499 	EXP 	move_right: foreColor = 'white'
0.9666 	EXP 	move_right: foreColor = 'white'
0.9838 	EXP 	move_right: foreColor = 'black'
1.0005 	EXP 	move_right: foreColor = 'black'
1.0168 	EXP 	move_right: foreColor = 'black'
1.0337 	EXP 	move_right: foreColor = 'black'
1.0508 	EXP 	move_right: foreColor = 'black'
1.0675 	EXP 	move_right: foreColor = 'white'
1.0877 	EXP 	move_right: foreColor = 'white'
1.1000 	EXP 	move_right: foreColor = 'white'
1.1188 	EXP 	move_right: foreColor = 'white'
1.1335 	EXP 	move_right: foreColor = 'white'
1.1501 	EXP 	move_right: foreColor = 'black'
1.1667 	EXP 	move_right: foreColor = 'black'
1.1840 	EXP 	move_right: foreColor = 'black'
1.2003 	EXP 	move_right: foreColor = 'black'
1.2178 	EXP 	move_right: foreColor = 'black'
1.2344 	EXP 	move_right: foreColor = 'white'
1.2497 	EXP 	move_right: foreColor = 'white'
1.2671 	EXP 	move_right: foreColor = 'white'
1.2839 	EXP 	move_right: foreColor = 'white'
1.3009 	EXP 	move_right: foreColor = 'white'
1.3206 	EXP 	move_right: foreColor = 'black'
1.3350 	EXP 	move_right: foreColor = 'black'
1.3516 	EXP 	move_right: foreColor = 'black'
1.3679 	EXP 	move_right: foreColor = 'black'
1.3851 	EXP 	move_right: foreColor = 'black'
1.4021 	EXP 	move_right: foreColor = 'white'
1.4167 	EXP 	move_right: foreColor = 'white'
1.4332 	EXP 	move_right: foreColor = 'white'
1.4504 	EXP 	move_right: foreColor = 'white'
1.4677 	EXP 	move_right: foreColor = 'white'
